Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
337,University 90,3.92,Bachelors,Whiteport,N/A,0,0,1,0,Full-stack Developer,10/20,01/24,Technical Support Specialist,11/20,05/23,Technical Support Specialist,01/21,01/24,1.44,0
338,University 24,2.99,High School,Wigginsburgh,M,1,0,0,0,Data Scientist,11/21,06/22,Technical Support Specialist,12/17,07/18,N/A,N/A,N/A,8.95,0
339,University 41,3.35,Masters,Brookestad,F,0,0,N/A,4,Teaching Assistant,01/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A,0.92,1
340,University 55,2.8,High School,Fosterborough,M,1,1,N/A,3,QA Analyst,02/21,05/22,N/A,N/A,N/A,N/A,N/A,N/A,9.54,1
341,University 53,3.28,Bachelors,Micheleside,M,N/A,1,1,3,Database Administrator,12/20,08/24,Data Scientist,11/18,04/20,IT Manager,08/16,11/16,1.81,0
342,University 110,3.01,High School,North David,F,1,0,0,0,Data Scientist,01/17,01/20,System Analyst,07/16,12/16,Research Assistant,06/18,03/21,1.5,0
343,University 82,3.45,Bachelors,North Joshuamouth,M,N/A,0,0,3,Full-stack Developer,11/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,9.84,0
344,University 194,3.0,Bachelors,East Shannon,N/A,1,0,N/A,3,Web Developer,08/17,09/18,Developer,06/21,12/23,N/A,N/A,N/A,8.49,0
345,University 159,3.84,Post-Doc,Smithfurt,M,1,0,N/A,0,QA Analyst,03/18,09/20,Data Scientist,10/20,07/23,Network Administrator,05/20,01/21,8.73,1
346,University 57,3.88,Masters,Lake Amber,F,N/A,1,0,3,Back-end Developer,08/22,08/24,QA Analyst,09/21,08/23,N/A,N/A,N/A,4.55,0
347,University 137,2.93,Bachelors,East Michelle,N/A,0,0,N/A,0,Product Manager,01/19,07/19,Software Engineer,12/21,03/24,Front-end Developer,10/18,07/19,1.68,0
348,University 151,2.82,Phd,Danieltown,M,0,0,0,0,Network Administrator,03/19,12/21,QA Analyst,03/17,04/17,Data Scientist,11/21,08/25,2.14,0
349,University 112,3.69,Masters,New Lisaberg,M,0,0,N/A,0,UX Designer,08/22,10/22,Network Administrator,08/20,11/20,N/A,N/A,N/A,5.97,0
350,University 170,3.51,Masters,Valerieshire,F,1,0,0,4,UX Designer,06/17,09/20,Research Assistant,03/20,06/22,Database Administrator,07/19,03/21,7.69,1
351,University 93,3.42,Post-Doc,Brianport,F,1,1,N/A,3,Technical Support Specialist,01/17,09/17,Web Developer,12/21,12/24,N/A,N/A,N/A,2.69,0
352,University 137,3.52,Phd,Grahamland,M,N/A,1,0,0,System Analyst,07/17,06/20,Applications Developer,10/18,11/21,Applications Developer,04/19,05/20,7.26,0
353,University 167,3.73,Bachelors,Port Davidview,M,N/A,0,N/A,3,Product Manager,02/23,06/25,Full-stack Developer,02/20,11/23,Applications Developer,01/17,03/20,2.97,1
354,University 57,3.12,Bachelors,Port Brandy,F,N/A,0,1,0,Database Administrator,06/21,04/23,N/A,N/A,N/A,N/A,N/A,N/A,3.68,0
355,University 191,3.79,High School,Amystad,M,1,1,N/A,4,QA Analyst,06/22,03/26,Research Assistant,11/22,03/25,Software Engineer,02/19,11/19,8.82,0
356,University 144,3.12,Phd,Christophertown,M,N/A,1,1,3,System Analyst,06/18,11/19,System Analyst,10/21,11/23,IT Manager,06/20,03/24,4.88,1
357,University 190,3.93,Bachelors,Lake Keith,M,N/A,0,N/A,0,UX Designer,09/18,06/19,N/A,N/A,N/A,N/A,N/A,N/A,7.36,1
358,University 80,3.39,Post-Doc,West Danielle,F,0,0,N/A,3,System Analyst,07/22,09/24,Data Scientist,02/21,05/22,Database Administrator,10/19,01/23,5.37,0
359,University 117,3.57,Bachelors,South Johnmouth,F,N/A,1,N/A,3,Data Scientist,05/19,11/21,N/A,N/A,N/A,N/A,N/A,N/A,0.6,0
360,University 169,2.9,High School,West Terryfurt,M,N/A,1,N/A,0,Teaching Assistant,06/18,05/21,N/A,N/A,N/A,N/A,N/A,N/A,2.52,0
361,University 164,3.67,Phd,Christineport,M,1,1,N/A,0,Research Assistant,03/20,07/21,QA Analyst,11/17,03/18,N/A,N/A,N/A,3.75,0
362,University 34,3.49,Post-Doc,Michelestad,F,N/A,0,1,2,Business Analyst,03/17,06/19,N/A,N/A,N/A,N/A,N/A,N/A,9.87,0
363,University 92,3.83,Post-Doc,Jenniferberg,N/A,N/A,1,N/A,3,System Analyst,09/22,12/24,Developer,04/23,03/26,Applications Developer,09/17,04/21,2.34,0
364,University 98,2.94,Phd,New Kimberly,F,N/A,1,N/A,0,Research Assistant,12/18,05/19,QA Analyst,12/22,11/24,System Analyst,10/22,07/23,2.13,0
365,University 199,3.14,Phd,Christophertown,M,1,0,1,3,System Analyst,04/22,05/23,Software Engineer,11/18,07/20,System Analyst,12/20,12/24,7.87,0
366,University 80,3.72,Some College,East Corey,F,1,0,N/A,0,IT Manager,08/18,06/21,N/A,N/A,N/A,N/A,N/A,N/A,4.71,1
367,University 11,3.0,Some College,Oliverbury,M,1,0,1,3,Software Engineer,01/21,10/22,N/A,N/A,N/A,N/A,N/A,N/A,5.67,0
368,University 126,3.18,Phd,Kellyville,M,1,1,N/A,2,System Analyst,12/22,06/24,N/A,N/A,N/A,N/A,N/A,N/A,8.78,1
369,University 102,3.91,Phd,West Lance,M,0,1,0,0,Applications Developer,09/16,11/18,IT Manager,12/18,03/22,IT Manager,12/18,07/20,3.42,1
370,University 90,3.51,Masters,Lake Luistown,M,1,1,1,4,Business Analyst,06/18,03/19,N/A,N/A,N/A,N/A,N/A,N/A,5.33,1
371,University 186,3.61,Phd,Wardside,M,0,1,0,3,IT Manager,07/22,09/25,Front-end Developer,11/19,05/20,Teaching Assistant,02/21,02/22,5.9,0
372,University 54,2.9,High School,Port Jacquelinefurt,F,N/A,1,0,0,IT Manager,12/17,02/19,Data Analyst,11/19,05/21,N/A,N/A,N/A,9.36,1
373,University 195,2.81,Post-Doc,New Gregoryburgh,N/A,0,1,N/A,0,Applications Developer,07/18,05/21,N/A,N/A,N/A,N/A,N/A,N/A,2.76,0
374,University 167,3.69,Phd,Hartmanburgh,F,1,1,N/A,0,Applications Developer,03/23,08/24,IT Manager,02/17,12/17,Data Analyst,09/16,10/16,6.28,0
375,University 137,3.53,Post-Doc,Sanchezton,N/A,1,1,N/A,0,System Analyst,07/19,04/22,System Analyst,12/22,02/24,Business Analyst,06/20,02/24,1.86,0
376,University 42,3.12,Phd,Lake Ryanburgh,F,1,0,N/A,0,Network Administrator,05/21,11/23,Product Manager,10/22,12/24,QA Analyst,08/17,02/20,6.48,0
377,University 54,3.37,Post-Doc,Grosschester,N/A,1,0,N/A,0,System Analyst,02/22,09/24,UX Designer,09/21,04/24,N/A,N/A,N/A,2.34,0
378,University 81,3.37,Bachelors,Wrightstad,M,N/A,0,1,4,Teaching Assistant,03/19,10/19,Business Analyst,05/20,01/23,N/A,N/A,N/A,4.74,1
379,University 105,2.93,Phd,Justinville,F,1,0,N/A,4,Research Assistant,01/21,02/24,N/A,N/A,N/A,N/A,N/A,N/A,1.33,0
380,University 109,3.21,Phd,North Jenniferburgh,N/A,N/A,0,0,0,Software Engineer,08/21,01/24,Software Engineer,02/22,04/24,N/A,N/A,N/A,1.98,0
381,University 15,2.94,Phd,Lake William,F,1,1,N/A,4,Front-end Developer,02/20,03/23,Web Developer,09/21,08/25,Network Administrator,04/21,10/23,3.17,0
382,University 11,3.36,Some College,Jenningsmouth,M,1,1,1,0,Data Analyst,10/22,05/23,N/A,N/A,N/A,N/A,N/A,N/A,3.49,1
383,University 81,3.89,Some College,Lisamouth,M,N/A,0,0,3,Back-end Developer,11/20,09/21,Business Analyst,06/18,06/20,N/A,N/A,N/A,9.04,0
384,University 189,3.25,Bachelors,North John,M,0,1,N/A,0,Database Administrator,10/20,05/22,Applications Developer,08/20,06/22,N/A,N/A,N/A,9.19,0
385,University 110,3.25,Masters,North Alyssatown,N/A,N/A,1,1,3,Web Developer,10/17,05/18,N/A,N/A,N/A,N/A,N/A,N/A,7.78,0
386,University 121,3.6,Phd,New Kenneth,M,1,0,N/A,0,Business Analyst,09/17,03/19,N/A,N/A,N/A,N/A,N/A,N/A,3.64,0
387,University 42,3.14,Post-Doc,Lynchberg,N/A,1,1,0,0,IT Manager,06/20,09/21,Data Scientist,03/19,06/22,N/A,N/A,N/A,7.21,0
388,University 151,3.83,High School,Lake Kimberly,M,0,1,1,0,Applications Developer,10/18,07/19,IT Manager,05/19,08/22,UX Designer,11/16,10/17,6.62,0
389,University 107,3.24,Masters,North Steven,M,N/A,0,1,0,Product Manager,10/22,09/24,Research Assistant,02/21,10/21,N/A,N/A,N/A,3.49,0
390,University 94,3.66,High School,Port Racheltown,F,1,1,1,4,Software Engineer,06/19,08/20,Research Assistant,06/22,09/25,System Analyst,05/20,09/21,2.46,0
391,University 63,2.96,High School,East Jamesshire,N/A,1,0,N/A,3,Data Scientist,03/22,12/23,Data Scientist,12/21,01/24,Business Analyst,05/17,09/20,4.99,0
392,University 81,3.05,Bachelors,North Stephanietown,F,1,0,0,3,Technical Support Specialist,04/18,11/18,Developer,01/17,12/18,N/A,N/A,N/A,9.17,0
393,University 9,3.73,High School,Judyfurt,F,N/A,1,1,0,Applications Developer,04/18,07/18,UX Designer,08/17,10/17,Developer,01/20,04/21,9.13,0
394,University 172,3.21,Bachelors,Port Kimberly,M,N/A,1,N/A,4,Web Developer,07/22,01/26,Back-end Developer,07/18,10/18,N/A,N/A,N/A,5.87,0
395,University 76,3.32,Post-Doc,Jonathanton,N/A,0,1,N/A,0,QA Analyst,04/22,06/22,Teaching Assistant,12/18,04/19,Teaching Assistant,11/19,08/21,0.99,0
396,University 115,3.04,Post-Doc,East Kimberly,M,N/A,1,N/A,4,Full-stack Developer,10/19,01/23,System Analyst,01/22,09/23,Back-end Developer,09/18,09/20,2.81,0
397,University 45,2.92,Phd,Aprilfort,N/A,0,0,0,0,System Analyst,10/22,11/23,Business Analyst,11/18,02/20,Web Developer,08/16,09/18,1.52,0
398,University 103,3.34,Some College,Pattersonmouth,M,N/A,1,N/A,0,Research Assistant,08/20,04/24,Developer,07/22,01/25,Back-end Developer,10/22,08/24,5.27,1
399,University 95,3.51,High School,New Melissa,N/A,1,0,1,0,Technical Support Specialist,03/17,06/20,System Analyst,03/18,01/20,Developer,12/17,01/21,6.02,0
400,University 148,3.08,Phd,Gouldfort,M,1,1,0,3,QA Analyst,03/18,09/21,System Analyst,03/23,07/23,Network Administrator,05/19,02/23,0.52,1
401,University 128,3.83,Some College,Lindseyberg,M,1,1,1,0,QA Analyst,08/16,06/20,System Analyst,09/19,11/19,N/A,N/A,N/A,4.73,0
402,University 5,3.5,Some College,Petersenmouth,F,1,1,0,0,System Analyst,09/16,12/18,Front-end Developer,04/23,05/25,N/A,N/A,N/A,5.59,0
403,University 138,3.23,High School,West Zachary,M,0,1,N/A,0,Back-end Developer,12/21,11/24,Business Analyst,01/17,09/19,Software Engineer,11/20,08/22,6.77,0
404,University 160,2.93,Masters,Michelefurt,N/A,N/A,1,0,4,Database Administrator,10/19,06/23,IT Manager,09/22,08/23,N/A,N/A,N/A,5.34,0
405,University 162,3.68,Some College,Kathrynfurt,M,1,0,0,2,Teaching Assistant,07/21,02/23,Teaching Assistant,03/22,12/22,N/A,N/A,N/A,3.3,1
406,University 110,3.63,Phd,Sloanbury,M,N/A,1,N/A,4,Full-stack Developer,08/21,04/24,System Analyst,08/17,12/17,Developer,05/17,09/18,6.04,0
407,University 156,3.18,Bachelors,Anthonytown,N/A,0,1,0,2,UX Designer,01/17,05/19,N/A,N/A,N/A,N/A,N/A,N/A,5.62,0
408,University 47,3.83,Some College,Port Briantown,M,N/A,0,0,3,Network Administrator,03/23,09/25,N/A,N/A,N/A,N/A,N/A,N/A,0.17,1
409,University 113,2.9,Masters,New Juliafort,M,N/A,0,N/A,3,Data Analyst,01/21,09/22,Data Analyst,03/18,10/20,Front-end Developer,07/22,07/25,3.51,0
410,University 49,3.18,Bachelors,Michelemouth,F,0,1,N/A,2,Business Analyst,09/20,01/21,System Analyst,09/22,07/23,Business Analyst,06/20,12/22,5.78,1
411,University 170,2.8,High School,Amyview,F,0,0,1,3,Business Analyst,05/16,01/19,Research Assistant,11/21,04/23,Technical Support Specialist,11/17,07/19,4.63,0
412,University 198,3.23,Some College,Smithhaven,F,0,1,N/A,2,Teaching Assistant,07/19,12/22,Network Administrator,05/18,06/21,N/A,N/A,N/A,6.05,0
413,University 111,3.57,Phd,North John,F,N/A,1,0,3,Technical Support Specialist,03/23,07/26,Data Analyst,02/17,07/20,N/A,N/A,N/A,5.89,0
414,University 17,2.81,Post-Doc,East Charlestown,M,1,0,1,0,Back-end Developer,12/22,05/23,Software Engineer,02/18,10/18,N/A,N/A,N/A,4.29,0
415,University 117,3.64,Masters,Suzannetown,N/A,N/A,1,0,3,QA Analyst,01/19,02/21,N/A,N/A,N/A,N/A,N/A,N/A,0.16,0
416,University 1,3.56,Bachelors,Stewarthaven,F,1,0,0,3,Developer,10/19,10/21,QA Analyst,09/18,02/21,N/A,N/A,N/A,3.17,0
417,University 101,2.81,Some College,Garyshire,M,1,1,1,4,Product Manager,05/22,01/23,Research Assistant,05/20,09/20,Data Analyst,08/22,08/24,9.81,0
418,University 164,3.45,Some College,Charleshaven,M,1,1,0,3,Product Manager,09/18,07/19,System Analyst,04/19,01/20,Network Administrator,12/17,08/18,4.73,0
419,University 98,3.59,High School,North Kimville,N/A,0,1,N/A,0,Teaching Assistant,02/18,05/19,IT Manager,06/19,01/22,Data Scientist,09/17,05/21,7.47,0
420,University 66,3.31,Bachelors,Port Raymond,N/A,N/A,0,N/A,2,Research Assistant,01/18,11/19,N/A,N/A,N/A,N/A,N/A,N/A,2.81,0
421,University 15,3.62,High School,Kimberlyfort,F,0,1,0,3,QA Analyst,02/17,08/18,Full-stack Developer,01/20,06/21,N/A,N/A,N/A,6.9,0
422,University 189,3.0,Phd,Wellsstad,M,1,0,1,0,Developer,04/21,07/23,Research Assistant,08/21,10/21,QA Analyst,03/20,01/21,9.6,0
423,University 9,3.09,High School,West Garyshire,N/A,N/A,1,0,0,QA Analyst,03/21,09/22,Software Engineer,05/22,10/23,Full-stack Developer,08/22,09/23,6.37,0
424,University 108,3.71,High School,Barberfort,N/A,0,1,N/A,4,Teaching Assistant,08/21,11/21,Data Analyst,06/20,01/22,N/A,N/A,N/A,3.21,0
425,University 100,2.89,Phd,Port Sheilaburgh,M,1,1,1,4,UX Designer,02/23,02/26,Software Engineer,09/17,06/20,Developer,09/21,08/23,7.2,0
426,University 90,3.32,Bachelors,Lake James,F,0,0,0,3,IT Manager,04/16,11/17,Applications Developer,07/22,07/23,Software Engineer,06/19,01/20,4.37,0
427,University 190,2.99,Phd,Lake David,F,N/A,0,1,0,Software Engineer,11/19,04/22,System Analyst,05/21,02/25,N/A,N/A,N/A,3.93,0
428,University 172,3.68,Masters,West Wayne,N/A,1,0,1,3,Web Developer,01/18,05/18,Software Engineer,08/16,12/17,UX Designer,02/20,12/22,5.74,0
429,University 182,3.32,Masters,Stevenside,M,0,1,N/A,3,UX Designer,12/21,07/23,Database Administrator,04/23,10/25,IT Manager,04/21,09/24,3.19,0
430,University 172,3.1,Bachelors,Mcdanielport,M,1,1,0,3,Developer,11/17,02/18,Technical Support Specialist,05/22,03/25,N/A,N/A,N/A,6.39,1
431,University 70,3.89,Masters,Holtstad,N/A,0,1,1,4,Teaching Assistant,01/21,12/21,N/A,N/A,N/A,N/A,N/A,N/A,2.09,0
432,University 185,3.17,High School,Paulbury,M,N/A,0,0,4,System Analyst,08/18,09/19,Technical Support Specialist,11/22,04/23,System Analyst,01/17,09/20,7.28,0
433,University 44,2.9,Some College,West Matthew,N/A,1,0,N/A,4,QA Analyst,12/17,11/18,N/A,N/A,N/A,N/A,N/A,N/A,5.93,0
434,University 37,3.74,Post-Doc,Smithmouth,F,1,0,N/A,0,Front-end Developer,08/22,02/23,N/A,N/A,N/A,N/A,N/A,N/A,1.84,0
435,University 155,3.78,Post-Doc,Cookchester,F,N/A,0,1,3,Software Engineer,05/16,08/16,Web Developer,08/19,08/22,IT Manager,06/17,09/17,0.01,0
436,University 17,2.92,Bachelors,New Tracystad,M,1,1,1,3,Network Administrator,10/18,06/22,System Analyst,02/22,07/22,N/A,N/A,N/A,7.58,0
437,University 193,3.65,Some College,Pattersonhaven,F,1,0,0,3,Back-end Developer,04/19,04/23,Developer,09/20,04/24,Network Administrator,05/16,02/18,3.47,0
438,University 151,3.72,Post-Doc,Watkinsstad,M,1,1,0,0,IT Manager,09/17,07/21,Applications Developer,11/16,05/17,System Analyst,08/18,10/21,7.68,0
439,University 132,3.5,Post-Doc,Fordmouth,F,0,0,1,0,QA Analyst,09/21,04/22,Data Analyst,05/20,11/23,N/A,N/A,N/A,2.16,0
440,University 119,3.83,Phd,Stevensport,F,1,0,1,3,IT Manager,06/17,03/19,Full-stack Developer,03/22,02/23,Product Manager,01/23,11/25,5.54,1
441,University 139,3.66,High School,South Carlberg,N/A,0,0,N/A,0,QA Analyst,08/19,12/21,Product Manager,12/17,07/20,Full-stack Developer,08/22,07/26,0.31,0
442,University 193,3.53,Post-Doc,East Nathanberg,M,0,1,1,2,System Analyst,09/17,06/18,Business Analyst,02/23,09/25,N/A,N/A,N/A,7.0,1
443,University 32,3.62,High School,Eatonland,F,1,0,1,0,IT Manager,09/21,11/21,N/A,N/A,N/A,N/A,N/A,N/A,8.61,1
444,University 18,3.92,Phd,Pearsonberg,M,1,1,1,3,Product Manager,02/19,10/20,Business Analyst,01/19,03/19,N/A,N/A,N/A,5.91,0
445,University 109,3.85,Post-Doc,New Aaronmouth,F,N/A,1,0,0,System Analyst,05/16,02/18,Full-stack Developer,02/23,12/26,Product Manager,03/23,11/25,2.13,0
446,University 122,3.77,High School,Destinyberg,M,N/A,0,N/A,3,Full-stack Developer,10/16,12/18,Web Developer,03/20,09/22,N/A,N/A,N/A,4.43,0
447,University 176,3.54,Some College,New Christine,F,0,0,1,3,QA Analyst,02/20,01/24,Full-stack Developer,07/21,11/23,Front-end Developer,10/19,10/21,1.16,1
448,University 38,3.19,Post-Doc,Garzaland,N/A,0,0,N/A,3,Data Analyst,09/22,02/24,Technical Support Specialist,06/22,11/23,Research Assistant,04/23,04/26,1.12,0
449,University 165,2.84,Masters,Laratown,M,N/A,0,N/A,3,UX Designer,09/21,03/24,Data Scientist,01/20,05/22,N/A,N/A,N/A,9.04,1
450,University 80,3.64,Phd,South Jeffreyport,F,N/A,1,1,3,Product Manager,07/19,06/20,Full-stack Developer,12/22,06/23,N/A,N/A,N/A,5.79,0
451,University 31,3.67,Some College,Spencerchester,M,0,0,1,3,UX Designer,11/17,04/20,N/A,N/A,N/A,N/A,N/A,N/A,6.57,1
452,University 159,2.9,Post-Doc,Haysborough,M,0,0,1,0,Front-end Developer,09/21,01/23,Research Assistant,12/22,10/24,N/A,N/A,N/A,4.49,1
453,University 5,3.44,Bachelors,East Nathan,F,N/A,1,0,0,UX Designer,01/20,02/21,Front-end Developer,12/21,03/23,Teaching Assistant,06/17,06/20,1.83,0
454,University 193,2.83,Masters,Arnoldberg,M,N/A,0,1,3,Front-end Developer,12/16,01/18,System Analyst,09/16,04/20,N/A,N/A,N/A,9.28,1
455,University 134,3.5,Some College,North Brianview,N/A,N/A,1,N/A,0,Teaching Assistant,10/21,06/23,Software Engineer,07/21,01/24,N/A,N/A,N/A,2.19,0
456,University 156,3.62,High School,West Jacksonmouth,M,N/A,1,1,0,Business Analyst,08/17,10/17,N/A,N/A,N/A,N/A,N/A,N/A,2.59,0
457,University 54,3.52,High School,Kathleenbury,F,1,0,0,3,Teaching Assistant,03/18,10/18,Data Analyst,08/21,01/22,N/A,N/A,N/A,7.07,0
458,University 137,3.53,Bachelors,South Michaelside,M,0,0,0,0,QA Analyst,03/18,09/18,Back-end Developer,02/17,01/20,N/A,N/A,N/A,0.95,1
459,University 166,3.96,High School,Melanietown,M,0,1,1,3,Database Administrator,10/20,06/23,N/A,N/A,N/A,N/A,N/A,N/A,2.03,0
460,University 51,2.98,Post-Doc,Ballfurt,F,1,1,0,0,Front-end Developer,02/21,08/23,UX Designer,01/18,11/19,N/A,N/A,N/A,3.62,0
461,University 89,3.73,Phd,Flynnton,N/A,0,0,N/A,0,Back-end Developer,09/22,06/24,UX Designer,11/20,08/21,Developer,01/17,09/18,3.62,0
462,University 80,3.06,High School,Port Natalie,F,N/A,0,N/A,3,Database Administrator,08/17,10/19,Product Manager,08/22,06/23,Network Administrator,04/21,12/22,1.58,1
463,University 69,3.36,Post-Doc,Mariamouth,M,0,1,1,0,Research Assistant,04/19,04/23,Front-end Developer,12/19,06/22,N/A,N/A,N/A,7.75,1
464,University 181,2.88,Masters,Port Johnnychester,M,N/A,0,0,0,IT Manager,06/18,06/20,N/A,N/A,N/A,N/A,N/A,N/A,9.58,0
465,University 73,3.88,Some College,Lawsonbury,N/A,1,1,0,4,Research Assistant,01/19,10/20,Business Analyst,05/22,06/23,Teaching Assistant,01/22,02/25,9.07,0
466,University 111,2.82,Bachelors,Stephanietown,F,N/A,0,1,4,Teaching Assistant,08/20,11/20,QA Analyst,10/18,07/21,Product Manager,08/21,12/23,8.84,0
467,University 127,3.04,Bachelors,New Elizabethside,N/A,N/A,0,1,4,System Analyst,06/16,09/17,Research Assistant,04/21,08/23,Research Assistant,03/19,01/23,0.81,0
468,University 140,3.61,High School,Millerside,M,0,0,N/A,4,UX Designer,01/22,08/22,Research Assistant,12/17,08/18,Back-end Developer,11/22,12/24,4.3,0
469,University 139,3.41,Post-Doc,New Williamview,F,1,0,N/A,4,Full-stack Developer,10/18,09/19,N/A,N/A,N/A,N/A,N/A,N/A,7.47,0
470,University 76,2.85,High School,Catherineburgh,N/A,1,0,0,0,Full-stack Developer,11/21,10/23,Research Assistant,03/17,10/17,Software Engineer,06/18,06/21,6.74,0
471,University 87,2.97,High School,Lake Jennifertown,N/A,N/A,1,N/A,0,Data Scientist,11/16,09/20,QA Analyst,12/21,04/23,N/A,N/A,N/A,5.79,0
472,University 190,3.2,Post-Doc,Jeremyport,N/A,1,1,0,4,Teaching Assistant,08/21,11/22,System Analyst,04/23,12/24,QA Analyst,11/18,08/19,8.75,0
473,University 6,2.98,Post-Doc,Lake Edwardburgh,F,1,0,1,3,Software Engineer,08/19,09/21,Applications Developer,05/19,02/22,Database Administrator,07/20,04/22,9.52,1
474,University 57,3.66,Masters,Jeremyview,N/A,1,1,1,0,Web Developer,11/17,12/18,N/A,N/A,N/A,N/A,N/A,N/A,3.23,0
475,University 172,3.88,Post-Doc,Haasmouth,M,0,1,0,4,Data Scientist,12/16,12/18,System Analyst,11/18,07/21,UX Designer,08/19,04/20,4.21,0
476,University 146,3.89,High School,Romerotown,F,0,0,N/A,3,Teaching Assistant,05/17,05/19,Data Analyst,10/17,08/21,N/A,N/A,N/A,8.17,1
477,University 144,3.76,High School,Thomasborough,M,1,1,0,3,Teaching Assistant,10/18,05/22,Data Scientist,04/20,10/21,Full-stack Developer,10/20,07/23,2.22,0
478,University 40,3.8,Phd,Melvinport,M,N/A,0,1,3,Research Assistant,02/19,04/19,Business Analyst,08/16,04/17,QA Analyst,09/21,05/23,2.14,0
479,University 17,3.57,Post-Doc,Walkershire,N/A,1,0,1,3,System Analyst,04/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,5.58,0
480,University 177,3.57,Masters,New Martin,M,0,1,0,3,Applications Developer,09/20,12/23,N/A,N/A,N/A,N/A,N/A,N/A,8.54,1
481,University 200,3.68,High School,South Joseph,M,0,1,1,0,IT Manager,09/21,04/24,N/A,N/A,N/A,N/A,N/A,N/A,5.25,1
482,University 36,3.76,High School,Victoriaville,M,1,1,0,0,Full-stack Developer,02/19,08/19,Database Administrator,08/18,11/19,Network Administrator,01/18,08/18,5.76,0
483,University 171,3.16,Post-Doc,New Johnhaven,F,0,1,1,0,Network Administrator,05/18,03/22,Technical Support Specialist,06/18,06/19,Teaching Assistant,06/22,04/24,1.57,0
484,University 29,3.06,Masters,Steveville,F,1,0,N/A,3,Research Assistant,06/19,12/20,System Analyst,08/18,11/18,N/A,N/A,N/A,1.85,0
485,University 179,2.98,Bachelors,East Natasha,N/A,0,1,1,0,Developer,05/20,12/21,System Analyst,09/17,02/20,System Analyst,07/17,08/17,8.14,0
486,University 80,3.74,High School,Kellystad,M,0,0,0,2,Full-stack Developer,01/21,08/23,Applications Developer,10/20,05/23,N/A,N/A,N/A,5.48,1
487,University 65,3.2,Masters,Port Stacey,M,N/A,1,1,0,Software Engineer,06/22,05/25,System Analyst,03/23,08/26,N/A,N/A,N/A,1.36,0
488,University 29,3.13,Masters,Perryland,M,N/A,0,N/A,3,QA Analyst,05/18,07/20,Web Developer,08/22,10/25,Applications Developer,06/17,05/20,8.1,0
489,University 150,3.45,High School,West Derrickville,M,0,0,1,4,QA Analyst,09/19,11/20,Technical Support Specialist,10/22,03/26,Full-stack Developer,10/20,02/24,0.32,0
490,University 21,3.31,Phd,Mckenzieborough,F,0,0,0,3,System Analyst,05/20,11/23,Applications Developer,10/18,03/20,Teaching Assistant,03/21,05/21,9.67,0
491,University 21,3.21,Some College,South Davidchester,M,1,1,0,0,QA Analyst,12/16,09/20,Web Developer,09/20,03/21,Front-end Developer,08/21,01/23,3.62,0
492,University 9,3.06,Masters,North Tylerstad,F,0,0,N/A,3,Back-end Developer,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,8.24,0
493,University 185,3.83,Masters,New Hannah,M,N/A,0,N/A,0,Back-end Developer,12/17,06/19,Technical Support Specialist,03/23,10/23,N/A,N/A,N/A,3.99,0
494,University 123,3.68,Phd,South Robertton,F,1,1,1,3,Network Administrator,04/22,01/24,N/A,N/A,N/A,N/A,N/A,N/A,3.47,0
495,University 162,3.94,Some College,East Brandi,F,1,0,1,4,Technical Support Specialist,04/17,09/20,Data Analyst,10/22,10/24,Data Scientist,08/20,03/24,4.18,0
496,University 10,3.84,Phd,Holmesmouth,F,1,1,1,4,Developer,05/16,06/19,Product Manager,08/17,11/18,N/A,N/A,N/A,9.44,0
497,University 131,3.42,Phd,Port Christineborough,N/A,1,0,1,4,Applications Developer,11/16,09/18,Front-end Developer,10/17,04/18,N/A,N/A,N/A,2.83,0
498,University 68,3.39,Some College,South Keith,F,N/A,0,1,3,Network Administrator,12/16,02/19,N/A,N/A,N/A,N/A,N/A,N/A,6.52,0
499,University 70,3.15,Masters,Gordonmouth,F,1,1,1,2,Product Manager,12/20,07/24,Research Assistant,02/20,05/21,N/A,N/A,N/A,0.96,0
500,University 140,3.38,Bachelors,Beverlymouth,M,0,0,1,3,QA Analyst,11/16,02/17,N/A,N/A,N/A,N/A,N/A,N/A,7.31,1
501,University 147,3.26,Post-Doc,Hickshaven,M,1,0,N/A,4,System Analyst,12/17,04/20,Network Administrator,04/22,12/25,Developer,09/16,06/19,9.95,0
502,University 108,3.58,Post-Doc,South Hollyborough,F,0,0,0,3,Teaching Assistant,04/21,04/24,Teaching Assistant,03/20,07/23,Research Assistant,01/18,11/21,3.11,1
503,University 163,3.44,Some College,Samanthaburgh,M,N/A,0,1,3,Data Scientist,07/21,05/22,Full-stack Developer,04/21,08/24,UX Designer,03/23,01/24,6.64,1
504,University 166,3.19,Masters,Christianland,N/A,N/A,1,1,4,Product Manager,03/23,01/24,Product Manager,03/21,05/22,Research Assistant,08/19,11/20,2.41,0
505,University 2,3.5,Some College,New Michaelstad,F,N/A,0,N/A,3,System Analyst,12/21,05/24,Teaching Assistant,06/20,09/20,Product Manager,08/16,05/18,3.1,0
